side,firstblood,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,firstdragon,firstherald,firsttower,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,firstbaron,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,result
1,0.0,-1722.0,-662.0,-32.0,0.0,0.0,1.0,0.0,0.0,0.0,-3837.0,-469.0,-16.0,0.0,0.0,3.0,-5903.0,-4202.0,-46.0,2.0,3.0,6.0,0.0,-6966.0,-5800.0,-30.0,3.0,5.0,10.0,0
0,1.0,1722.0,662.0,32.0,1.0,1.0,0.0,1.0,1.0,1.0,3837.0,469.0,16.0,3.0,9.0,0.0,5903.0,4202.0,46.0,6.0,14.0,2.0,1.0,6966.0,5800.0,30.0,10.0,26.0,3.0,1
1,1.0,3104.0,1069.0,33.0,8.0,15.0,4.0,0.0,1.0,1.0,5069.0,2014.0,64.0,10.0,20.0,6.0,6582.0,617.0,63.0,13.0,29.0,8.0,1.0,8377.0,4306.0,99.0,15.0,35.0,8.0,1
0,0.0,-3104.0,-1069.0,-33.0,3.0,2.0,8.0,1.0,0.0,0.0,-5069.0,-2014.0,-64.0,5.0,8.0,10.0,-6582.0,-617.0,-63.0,7.0,12.0,13.0,0.0,-8377.0,-4306.0,-99.0,7.0,12.0,15.0,0
1,0.0,-915.0,-354.0,-30.0,5.0,7.0,5.0,0.0,0.0,0.0,118.0,1990.0,-43.0,10.0,13.0,6.0,-1927.0,-3015.0,-104.0,13.0,22.0,10.0,0.0,-5621.0,-4329.0,-107.0,14.0,25.0,14.0,0
0,1.0,915.0,354.0,30.0,5.0,10.0,5.0,1.0,1.0,1.0,-118.0,-1990.0,43.0,6.0,12.0,10.0,1927.0,3015.0,104.0,10.0,21.0,13.0,1.0,5621.0,4329.0,107.0,14.0,32.0,14.0,1
1,1.0,181.0,518.0,12.0,3.0,4.0,3.0,1.0,0.0,0.0,-4439.0,-1319.0,10.0,3.0,4.0,10.0,-6218.0,-735.0,13.0,3.0,4.0,11.0,0.0,-7401.0,-874.0,36.0,3.0,4.0,14.0,0
0,0.0,-181.0,-518.0,-12.0,3.0,4.0,3.0,0.0,1.0,1.0,4439.0,1319.0,-10.0,10.0,19.0,3.0,6218.0,735.0,-13.0,11.0,22.0,3.0,0.0,7401.0,874.0,-36.0,14.0,32.0,3.0,1
1,1.0,2582.0,1163.0,27.0,6.0,10.0,1.0,1.0,1.0,1.0,5490.0,2208.0,24.0,12.0,26.0,1.0,9285.0,3129.0,14.0,17.0,42.0,2.0,0.0,,,,,,,1
0,0.0,-2582.0,-1163.0,-27.0,1.0,2.0,6.0,0.0,0.0,0.0,-5490.0,-2208.0,-24.0,1.0,2.0,12.0,-9285.0,-3129.0,-14.0,2.0,3.0,17.0,0.0,,,,,,,0
1,1.0,3425.0,2029.0,25.0,6.0,12.0,0.0,1.0,1.0,1.0,7586.0,4499.0,58.0,10.0,23.0,0.0,10766.0,8041.0,71.0,13.0,31.0,0.0,0.0,,,,,,,1
0,0.0,-3425.0,-2029.0,-25.0,0.0,0.0,6.0,0.0,0.0,0.0,-7586.0,-4499.0,-58.0,0.0,0.0,10.0,-10766.0,-8041.0,-71.0,0.0,0.0,13.0,0.0,,,,,,,0
1,0.0,-800.0,-37.0,-12.0,1.0,2.0,1.0,1.0,0.0,1.0,-310.0,-625.0,9.0,1.0,2.0,3.0,-1164.0,-3513.0,19.0,1.0,2.0,7.0,1.0,7172.0,4737.0,85.0,10.0,20.0,9.0,1
0,1.0,800.0,37.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,310.0,625.0,-9.0,3.0,4.0,1.0,1164.0,3513.0,-19.0,7.0,13.0,1.0,0.0,-7172.0,-4737.0,-85.0,9.0,18.0,10.0,0
1,0.0,107.0,743.0,21.0,4.0,11.0,6.0,0.0,1.0,1.0,2420.0,2570.0,62.0,7.0,21.0,7.0,3786.0,3416.0,49.0,11.0,35.0,8.0,1.0,3854.0,2939.0,73.0,12.0,38.0,11.0,1
0,1.0,-107.0,-743.0,-21.0,6.0,15.0,4.0,1.0,0.0,0.0,-2420.0,-2570.0,-62.0,7.0,17.0,7.0,-3786.0,-3416.0,-49.0,8.0,21.0,11.0,0.0,-3854.0,-2939.0,-73.0,11.0,27.0,12.0,0
1,1.0,801.0,379.0,19.0,2.0,5.0,1.0,0.0,0.0,0.0,-230.0,-98.0,15.0,3.0,8.0,3.0,-1992.0,-442.0,-6.0,3.0,8.0,3.0,0.0,-5114.0,-5299.0,-70.0,4.0,12.0,5.0,0
0,0.0,-801.0,-379.0,-19.0,1.0,3.0,2.0,1.0,1.0,1.0,230.0,98.0,-15.0,3.0,9.0,3.0,1992.0,442.0,6.0,3.0,9.0,3.0,1.0,5114.0,5299.0,70.0,5.0,15.0,4.0,1
1,1.0,1022.0,416.0,-6.0,4.0,4.0,2.0,0.0,0.0,1.0,2074.0,2160.0,14.0,6.0,6.0,4.0,3244.0,3255.0,9.0,9.0,11.0,7.0,1.0,2009.0,1941.0,18.0,10.0,11.0,12.0,1
0,0.0,-1022.0,-416.0,6.0,2.0,0.0,4.0,1.0,1.0,0.0,-2074.0,-2160.0,-14.0,4.0,2.0,6.0,-3244.0,-3255.0,-9.0,6.0,5.0,9.0,0.0,-2009.0,-1941.0,-18.0,11.0,12.0,10.0,0
1,1.0,135.0,-858.0,-40.0,2.0,5.0,0.0,0.0,0.0,0.0,-1477.0,-1472.0,-45.0,3.0,9.0,3.0,-2167.0,-23.0,-51.0,3.0,9.0,3.0,0.0,-2712.0,-697.0,-61.0,3.0,9.0,3.0,0
0,0.0,-135.0,858.0,40.0,0.0,0.0,2.0,1.0,1.0,1.0,1477.0,1472.0,45.0,3.0,8.0,3.0,2167.0,23.0,51.0,3.0,8.0,3.0,0.0,2712.0,697.0,61.0,3.0,8.0,3.0,1
1,0.0,1.0,-1200.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-2548.0,-3476.0,-21.0,1.0,1.0,4.0,-3670.0,-3160.0,-37.0,2.0,3.0,4.0,0.0,-5255.0,-2585.0,-43.0,5.0,10.0,7.0,0
0,1.0,-1.0,1200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2548.0,3476.0,21.0,4.0,4.0,1.0,3670.0,3160.0,37.0,4.0,4.0,2.0,1.0,5255.0,2585.0,43.0,7.0,7.0,5.0,1
1,1.0,-394.0,-986.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,-2386.0,-3226.0,-9.0,1.0,3.0,4.0,-4681.0,-6620.0,-20.0,1.0,3.0,7.0,0.0,-7523.0,-8394.0,-48.0,3.0,7.0,10.0,0
